epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,207.788,0.56771,5.39047,0.00988,0.00441,1,0.56558,0.55733,0.26568,8.04331,0.00501,0.000463102,0.000463102,0.000463102
2,386.354,0.63145,4.58765,0.01052,0.00362,1,0.9125,0.87893,0.41031,7.42817,0.00773,0.000908434,0.000908434,0.000908434
3,552.091,0.74092,3.91922,0.01283,0.73696,0.33333,0.8465,0.75835,0.52949,6.86784,0.00934,0.00132233,0.00132233,0.00132233
4,721.88,0.80937,3.58495,0.01494,0.72842,0.9085,0.995,0.88872,0.63334,5.36459,0.01349,0.00128753,0.00128753,0.00128753
5,868.817,0.7733,3.27077,0.01505,0.87134,0.9739,0.995,0.89135,0.59075,4.83901,0.01255,0.00124037,0.00124037,0.00124037
6,998.939,0.7671,2.90692,0.01454,0.89769,0.83333,0.95375,0.88005,0.54073,4.159,0.01329,0.00119322,0.00119322,0.00119322
7,1147.97,0.79381,2.6488,0.01556,0.92665,0.79934,0.95375,0.84618,0.63883,4.10006,0.01641,0.00114606,0.00114606,0.00114606
8,1306.48,0.83331,2.59309,0.01573,0.84674,0.97672,0.995,0.87484,0.6459,3.49271,0.01331,0.0010989,0.0010989,0.0010989
9,1434.48,0.76563,2.29209,0.01488,0.96798,1,0.995,0.89198,0.51316,2.92413,0.0109,0.00105174,0.00105174,0.00105174
10,1561.51,0.70614,1.97501,0.01242,0.96725,1,0.995,0.92182,0.42963,2.63109,0.00875,0.00100459,0.00100459,0.00100459
11,1695.86,0.77567,1.89675,0.0135,0.96394,0.82437,0.95375,0.87239,0.49144,2.62355,0.01073,0.00095743,0.00095743,0.00095743
12,1828.2,0.71444,1.6929,0.01232,0.94053,0.99989,0.995,0.95917,0.34422,2.26984,0.00678,0.000910273,0.000910273,0.000910273
13,2113.06,0.72669,1.62696,0.01211,0.96539,1,0.995,0.89649,0.55913,2.14605,0.01409,0.000863116,0.000863116,0.000863116
14,2251.2,0.70244,1.51074,0.01335,0.97332,1,0.995,0.93905,0.36415,1.86485,0.0085,0.000815959,0.000815959,0.000815959
15,2387.77,0.64377,1.43978,0.01103,0.96202,1,0.995,0.95112,0.32099,1.78885,0.00652,0.000768802,0.000768802,0.000768802
16,2555.4,0.6455,1.41398,0.0119,0.94942,1,0.995,0.91472,0.41178,1.66487,0.00881,0.000721645,0.000721645,0.000721645
17,2713.03,0.64364,1.36738,0.01106,0.96659,1,0.995,0.95092,0.35545,1.57302,0.00807,0.000674488,0.000674488,0.000674488
18,2871.99,0.6145,1.31528,0.0113,0.96925,1,0.995,0.92655,0.34683,1.39121,0.00676,0.000627331,0.000627331,0.000627331
19,3023.3,0.62889,1.25294,0.01134,0.93965,0.99756,0.995,0.95101,0.36837,1.33064,0.00847,0.000580174,0.000580174,0.000580174
20,3169.74,0.55837,1.07461,0.00974,0.98097,1,0.995,0.995,0.25753,1.19156,0.0047,0.000533017,0.000533017,0.000533017
21,3312.92,0.37651,1.36599,0.00924,0.9853,1,0.995,0.95363,0.3121,1.15298,0.00518,0.00048586,0.00048586,0.00048586
22,3450.05,0.4026,1.29767,0.01013,0.97664,1,0.995,0.94373,0.34086,1.10518,0.00691,0.000438703,0.000438703,0.000438703
23,3596.66,0.37525,1.23552,0.00977,0.96254,0.99129,0.995,0.97013,0.30636,1.24598,0.00596,0.000391546,0.000391546,0.000391546
24,3744.52,0.35938,1.14907,0.00912,0.96765,0.96945,0.995,0.95855,0.27281,1.21029,0.00496,0.000344389,0.000344389,0.000344389
25,3879.87,0.36572,1.11534,0.00911,0.90144,0.96965,0.995,0.973,0.32143,1.1869,0.00637,0.000297232,0.000297232,0.000297232
26,4008.3,0.34994,1.08186,0.00888,0.98025,1,0.995,0.995,0.26408,0.99301,0.00484,0.000250075,0.000250075,0.000250075
27,4150.91,0.33362,1.03273,0.00825,0.9886,1,0.995,0.9829,0.29107,0.95613,0.00522,0.000202918,0.000202918,0.000202918
28,4299.25,0.31264,0.97562,0.00778,0.97554,0.93208,0.995,0.95855,0.28936,0.95535,0.00526,0.000155761,0.000155761,0.000155761
29,4452.04,0.31227,0.95839,0.00735,0.94883,0.94824,0.995,0.995,0.27758,0.94116,0.00555,0.000108604,0.000108604,0.000108604
30,4643.79,0.32668,0.9844,0.00809,0.979,1,0.995,0.995,0.24423,0.91698,0.00486,6.1447e-05,6.1447e-05,6.1447e-05
