epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,156.712,0.69739,4.97789,0.0134,0.00056,0.5,0.4975,0.47263,0.19528,6.94538,0.00554,0.000463459,0.000463459,0.000463459
2,302.545,0.73388,4.14256,0.01489,0.03903,0.75,0.745,0.53197,0.65121,6.57233,0.02309,0.00090878,0.00090878,0.00090878
3,449.138,0.87859,3.18101,0.01821,0.36951,0.75,0.745,0.49859,1.48712,5.08752,0.04513,0.00132266,0.00132266,0.00132266
4,593.295,1.00382,2.7418,0.0202,0.69556,0.5,0.745,0.6159,0.89224,4.83095,0.02782,0.00128753,0.00128753,0.00128753
5,738.509,0.97398,2.64385,0.02087,0.61045,0.75,0.75542,0.59321,1.19659,4.02519,0.04548,0.00124037,0.00124037,0.00124037
6,880.683,1.04223,2.35721,0.02138,0.41876,0.75,0.75929,0.5749,1.05756,4.03185,0.03087,0.00119322,0.00119322,0.00119322
7,1026.29,0.96038,2.11805,0.01974,0.95841,0.5,0.69268,0.50283,1.08903,3.82744,0.03924,0.00114606,0.00114606,0.00114606
8,1169.48,0.92253,1.90219,0.01825,0.65107,0.75,0.745,0.61258,1.09934,3.5861,0.04489,0.0010989,0.0010989,0.0010989
9,1319.69,0.92261,1.76703,0.01803,0.45328,0.75,0.745,0.55777,1.09943,3.69529,0.03498,0.00105174,0.00105174,0.00105174
10,1465.04,0.92585,1.7496,0.01783,0.98207,0.5,0.61125,0.51065,1.03541,3.21781,0.03488,0.00100459,0.00100459,0.00100459
11,1607.15,0.93395,1.5718,0.01857,0.92064,0.5,0.81643,0.64904,0.93305,2.75508,0.02848,0.00095743,0.00095743,0.00095743
12,1750.3,0.85684,1.42473,0.01708,0.71568,0.89178,0.995,0.70716,0.65723,2.46344,0.02401,0.000910273,0.000910273,0.000910273
13,1892.36,0.88619,1.38496,0.01681,0.46455,0.86417,0.91167,0.80818,0.7145,2.14094,0.02114,0.000863116,0.000863116,0.000863116
14,2047.45,0.83367,1.32778,0.01653,0.9489,0.75,0.91167,0.7079,0.99191,1.6498,0.03224,0.000815959,0.000815959,0.000815959
15,2212.6,0.764,1.23739,0.01524,0.95181,0.75,0.91167,0.68059,0.96342,1.78649,0.03174,0.000768802,0.000768802,0.000768802
16,2381.67,0.78905,1.13182,0.01553,0.94106,0.75,0.91167,0.74926,0.90945,1.45266,0.02977,0.000721645,0.000721645,0.000721645
17,2551.81,0.76336,1.16172,0.01514,0.69055,0.96797,0.995,0.79187,0.7419,1.77791,0.02352,0.000674488,0.000674488,0.000674488
18,2730.72,0.73825,1.15053,0.01359,0.85627,0.75,0.87,0.70517,0.66009,2.45587,0.02041,0.000627331,0.000627331,0.000627331
19,2905.8,0.71496,1.05071,0.0137,0.89405,0.75,0.845,0.72217,0.64028,1.63745,0.02051,0.000580174,0.000580174,0.000580174
20,3078.5,0.6528,1.00559,0.01322,0.88139,0.87945,0.995,0.88506,0.70832,1.27919,0.01962,0.000533017,0.000533017,0.000533017
21,3246.81,0.53835,1.00691,0.01575,0.94426,0.75,0.87,0.76753,0.7244,1.23892,0.0224,0.00048586,0.00048586,0.00048586
22,3410.87,0.52514,0.98259,0.01547,0.95763,0.75,0.87,0.793,0.75387,1.25265,0.02193,0.000438703,0.000438703,0.000438703
23,3574.86,0.51262,0.99686,0.01504,0.83344,0.75,0.845,0.7248,0.79036,1.41466,0.02223,0.000391546,0.000391546,0.000391546
24,3740.29,0.49157,0.86112,0.01347,0.55699,0.75,0.91167,0.85358,0.56917,1.40851,0.01881,0.000344389,0.000344389,0.000344389
25,3903.22,0.51576,0.86305,0.01463,0.645,0.75,0.91167,0.85358,0.66548,1.30131,0.02192,0.000297232,0.000297232,0.000297232
26,4165.49,0.50297,0.85236,0.0144,0.63791,0.75,0.87,0.82037,0.53735,1.36242,0.01488,0.000250075,0.000250075,0.000250075
27,4328.73,0.43718,0.76753,0.01279,0.52698,0.97735,0.87,0.7955,0.59748,1.14822,0.01741,0.000202918,0.000202918,0.000202918
28,4491.34,0.43097,0.76498,0.01168,0.6124,0.95002,0.91167,0.82883,0.61412,1.12668,0.01833,0.000155761,0.000155761,0.000155761
29,4654.5,0.42936,0.77119,0.01219,0.60273,1,0.91167,0.87025,0.56471,0.95856,0.01832,0.000108604,0.000108604,0.000108604
30,4832.81,0.39421,0.72801,0.01037,0.80029,0.97454,0.995,0.94525,0.51757,0.91288,0.01767,6.1447e-05,6.1447e-05,6.1447e-05
